,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Rochechouart,48.8798119198,2.344861291,Mamiche,48.88011172754268,2.3436993187097728,Bakery
1,Rochechouart,48.8798119198,2.344861291,Pizza di Loretta,48.88063427179253,2.344010503666904,Pizza Place
2,Rochechouart,48.8798119198,2.344861291,Les 36 Corneil,48.87899704397274,2.345500993649114,Wine Bar
3,Rochechouart,48.8798119198,2.344861291,La Ferme Saint Hubert,48.87890833082013,2.3454278835651774,Cheese Shop
4,Rochechouart,48.8798119198,2.344861291,Le Barbe à Papa,48.87965388607658,2.3474383451936647,French Restaurant
5,Rochechouart,48.8798119198,2.344861291,Le Potager de Charlotte,48.87892371227544,2.34464035362357,Vegetarian / Vegan Restaurant
6,Rochechouart,48.8798119198,2.344861291,Mikkeller Bar Paris,48.87866270857671,2.345377199271752,Beer Bar
7,Rochechouart,48.8798119198,2.344861291,Aspic,48.87910969524201,2.343958143320145,French Restaurant
8,Rochechouart,48.8798119198,2.344861291,Wally Le Saharien,48.879210967549604,2.3432046202703836,African Restaurant
9,Rochechouart,48.8798119198,2.344861291,Comptoir Canailles,48.88025477824864,2.343876171676599,French Restaurant
10,Rochechouart,48.8798119198,2.344861291,L'Assommoir,48.8795734755902,2.3433667708582515,Bar
11,Rochechouart,48.8798119198,2.344861291,Pétrelle,48.8808637666862,2.3466743674034647,French Restaurant
12,Rochechouart,48.8798119198,2.344861291,Léandrés,48.879117758262716,2.3479092121124268,Coffee Shop
13,Rochechouart,48.8798119198,2.344861291,Vin Au Vert,48.88213024063451,2.3462678312101577,Wine Shop
14,Rochechouart,48.8798119198,2.344861291,La Binouze,48.881879507572584,2.3465931117481666,Beer Store
15,Rochechouart,48.8798119198,2.344861291,KB CaféShop,48.88063498100937,2.3407598491394306,Coffee Shop
16,Rochechouart,48.8798119198,2.344861291,Delice De Condorcet,48.879547,2.347954,Gastropub
17,Rochechouart,48.8798119198,2.344861291,Churrasqueira Galo,48.881594288862864,2.347826063632965,BBQ Joint
18,Rochechouart,48.8798119198,2.344861291,Le Trianon,48.882853951515685,2.3431401282852162,Concert Hall
19,Rochechouart,48.8798119198,2.344861291,Vintage Hostel Gare du Nord,48.88183628947275,2.347320324724686,Hotel
20,Rochechouart,48.8798119198,2.344861291,Abri,48.87794119994912,2.3491306158361196,Gastropub
21,Rochechouart,48.8798119198,2.344861291,Le Pantruche,48.88056015343903,2.339729019034071,French Restaurant
22,Rochechouart,48.8798119198,2.344861291,Tous,48.876537,2.343898,French Restaurant
23,Rochechouart,48.8798119198,2.344861291,Belle Maison,48.87948782651649,2.3397140051683203,French Restaurant
24,Rochechouart,48.8798119198,2.344861291,L'Élan 9,48.877771,2.3489,Restaurant
25,Rochechouart,48.8798119198,2.344861291,Hotel Helussi,48.877888805182764,2.3469612112143388,Hotel
26,Rochechouart,48.8798119198,2.344861291,Le Bon Bock,48.88278635001319,2.341899166100045,French Restaurant
27,Rochechouart,48.8798119198,2.344861291,Piccola Toscana,48.87715050897747,2.346292826607403,Italian Restaurant
28,Rochechouart,48.8798119198,2.344861291,La Cure Gourmande,48.883474359379306,2.3437517881393433,Bakery
29,Rochechouart,48.8798119198,2.344861291,Caillebotte,48.87711755573471,2.340604279183831,French Restaurant
30,Rochechouart,48.8798119198,2.344861291,La Cigale,48.88235807415479,2.340148479356173,Music Venue
31,Rochechouart,48.8798119198,2.344861291,Square d'Anvers,48.88217459774414,2.3443472385406494,Park
32,Rochechouart,48.8798119198,2.344861291,Madame Messieurs,48.879262020891716,2.3479913510171735,French Restaurant
33,Rochechouart,48.8798119198,2.344861291,Les Arlots,48.880627129179196,2.3499973118305206,French Restaurant
34,Rochechouart,48.8798119198,2.344861291,Picto,48.87590813725393,2.3439459877145854,Sandwich Place
35,Rochechouart,48.8798119198,2.344861291,Faggio,48.881649,2.346668,Pizza Place
36,Rochechouart,48.8798119198,2.344861291,Nationale 7 Paris,48.87924815172544,2.349318692653714,Design Studio
37,Rochechouart,48.8798119198,2.344861291,Best Western Premier Faubourg 88,48.87768381921307,2.349274322382371,Hotel
38,Rochechouart,48.8798119198,2.344861291,Hugo,48.87621999030353,2.3472385160585065,French Restaurant
39,Rochechouart,48.8798119198,2.344861291,Cacahuète,48.877300021832795,2.3468520865087013,French Restaurant
40,Rochechouart,48.8798119198,2.344861291,Petit Musée du Chocolat,48.88404371100612,2.3433293402194977,Chocolate Shop
41,Rochechouart,48.8798119198,2.344861291,Le Grenier à Pain,48.877021679047054,2.34881167326311,Bakery
42,Rochechouart,48.8798119198,2.344861291,Chez Paï,48.87630301428115,2.3486032336950298,Thai Restaurant
43,Rochechouart,48.8798119198,2.344861291,Hôtel Parister,48.8753502620414,2.344384366678277,Hotel
44,Rochechouart,48.8798119198,2.344861291,Walrus,48.880968072942046,2.350505985988755,Record Shop
45,Rochechouart,48.8798119198,2.344861291,Les Saisons,48.87666111519946,2.340131986748549,French Restaurant
46,Rochechouart,48.8798119198,2.344861291,Pedzouille,48.876035676754185,2.3484711349010468,Bistro
47,Rochechouart,48.8798119198,2.344861291,Maison de la Culture Arménienne de Paris,48.87580494228885,2.3460879921913147,Eastern European Restaurant
48,Rochechouart,48.8798119198,2.344861291,Le Rouge et le Verre,48.87636872523512,2.34118290245533,Wine Bar
49,Rochechouart,48.8798119198,2.344861291,Hotel Bienvenue,48.8761485969155,2.3421662987226126,Bed & Breakfast
50,Rochechouart,48.8798119198,2.344861291,Hôtel de Rocroy,48.879786668187705,2.3508280391962266,Hotel
51,Rochechouart,48.8798119198,2.344861291,NESO,48.8760907210035,2.3476316034793854,French Restaurant
52,Rochechouart,48.8798119198,2.344861291,L'Orange Verte,48.87947612372211,2.3508817608044916,French Restaurant
53,Rochechouart,48.8798119198,2.344861291,VG,48.87705510186067,2.347964197397232,Vegetarian / Vegan Restaurant
54,Rochechouart,48.8798119198,2.344861291,Emi-Lee,48.87646430529015,2.349075852800554,Vietnamese Restaurant
55,Rochechouart,48.8798119198,2.344861291,Square Montholon,48.87697979989747,2.3465681076049805,Park
56,Rochechouart,48.8798119198,2.344861291,Ibis Styles Paris Cadet Lafayette,48.878313609144655,2.3474969194942332,Hotel
57,Rochechouart,48.8798119198,2.344861291,Résidence Du Pré,48.87833557510649,2.3477272911447185,Hotel
58,Rochechouart,48.8798119198,2.344861291,Hotel du Temps,48.87672331499355,2.347400667286429,Hotel
59,Rochechouart,48.8798119198,2.344861291,Boulangerie Banette Ammy,48.87964022937012,2.349406741453819,Bakery
60,Rochechouart,48.8798119198,2.344861291,Monop',48.87692996856845,2.3480862115765686,Convenience Store
61,Rochechouart,48.8798119198,2.344861291,Smart Place Gare du Nord by Hiphophostels,48.88078290345457,2.3515409231185913,Hostel
62,Rochechouart,48.8798119198,2.344861291,9Hôtel Opera,48.87638680678756,2.3470002777527443,Hotel
63,Rochechouart,48.8798119198,2.344861291,Le Bébé,48.877325252150264,2.3467736662103404,French Restaurant
64,Rochechouart,48.8798119198,2.344861291,Chez Bouboule,48.88190561042207,2.3467062413692474,Bar
65,Rochechouart,48.8798119198,2.344861291,La Villa Del Padre,48.880862869720914,2.3511276182166747,Pizza Place
66,Rochechouart,48.8798119198,2.344861291,42 Degrés,48.877461855301966,2.3491383211515693,Vegetarian / Vegan Restaurant
67,Rochechouart,48.8798119198,2.344861291,Le Diplomate,48.883317560865905,2.3468747298627592,French Restaurant
68,Rochechouart,48.8798119198,2.344861291,Sushi Nagasaki,48.880888702124516,2.351236617850481,Sushi Restaurant
69,Rochechouart,48.8798119198,2.344861291,Hôtel Montmartre Clignancourt,48.88398100666673,2.347059278573624,Hotel
70,Rochechouart,48.8798119198,2.344861291,Le Paris Juste,48.88139,2.349977,Bistro
71,Bercy,48.8352090499,2.38621008421,Bercy Village,48.83305736010547,2.3864150047302246,Shopping Plaza
72,Bercy,48.8352090499,2.38621008421,Fnac,48.833523,2.386662,Department Store
73,Bercy,48.8352090499,2.38621008421,L'Auberge Aveyronnaise,48.83477241179588,2.386037231962512,French Restaurant
74,Bercy,48.8352090499,2.38621008421,Musée des Arts Forains,48.83288084545177,2.3890687791931127,Museum
75,Bercy,48.8352090499,2.38621008421,La Cinémathèque Française,48.837239,2.382529,Museum
76,Bercy,48.8352090499,2.38621008421,Cour Saint-Émilion,48.83323,2.386692,Pedestrian Plaza
77,Bercy,48.8352090499,2.38621008421,Parc de Bercy,48.83550086064976,2.382380962371826,Park
78,Bercy,48.8352090499,2.38621008421,Nature et Découvertes,48.83248587105888,2.3858436563003598,Miscellaneous Shop
79,Bercy,48.8352090499,2.38621008421,UGC Ciné Cité Bercy,48.832131,2.38535,Multiplex
80,Bercy,48.8352090499,2.38621008421,Pedra Alta,48.83640907134069,2.3873067489419078,Portuguese Restaurant
81,Bercy,48.8352090499,2.38621008421,Factory & Co,48.83287758247386,2.386224424238187,Bagel Shop
82,Bercy,48.8352090499,2.38621008421,La Cure Gourmande,48.833185,2.386901,Candy Store
83,Bercy,48.8352090499,2.38621008421,Dammann Frères,48.833391053261074,2.386683225631714,Tea Room
84,Bercy,48.8352090499,2.38621008421,Bar & Beer,48.83702176743156,2.3915387778536985,Beer Bar
